City,Matches,Teams Played,1st Inng Max Score,2nd Inng Max Score,Fours,Sixes
Dubai,224,24,211,187,2361,861
Abu Dhabi,136,22,225,169,1479,410
Kigali City,92,14,242,165,937,312
Colombo,85,13,214,215,984,357
Mirpur,70,13,204,189,832,296
Johannesburg,60,10,260,236,849,347
Al Amarat,56,15,210,183,633,263
Harare,56,6,229,194,643,253
London,50,13,211,196,636,181
Sharjah,50,15,215,182,504,257
Auckland,48,10,243,245,575,378
Hamilton,46,12,212,208,493,318
Dhaka,44,9,211,194,441,195
Cape Town,42,10,193,192,521,211
Almeria,34,5,180,142,272,93
Pallekele,34,8,263,185,491,180
Barbados,34,10,195,160,365,196
Kuala Lumpur,33,6,206,184,376,152
Dublin,32,11,252,194,383,165
Chittagong,32,9,196,193,401,107
Wellington,30,8,219,184,362,179
Durban,30,9,218,202,364,169
Singapore,28,6,197,187,355,151
Lahore,28,6,197,177,403,136
Sydney,26,8,221,200,293,140
Melbourne,25,6,184,172,278,72
Nottingham,24,10,232,201,296,109
Lauderhill,24,7,245,244,241,146
St Lucia,24,10,191,197,269,129
Centurion,24,7,241,226,333,179
Nagpur,24,11,215,186,270,84
Edinburgh,22,6,210,180,255,135
Kirtipur,22,5,238,209,246,143
Marsa,22,5,213,178,182,110
Coolidge,22,8,245,142,231,106
Manchester,21,6,195,199,270,87
Belfast,18,10,190,140,150,50
Southampton,18,4,248,209,237,84
Kampala,18,6,167,144,149,66
Windhoek,18,5,240,176,187,89
Ilfov County,18,6,211,187,283,78
Castel,17,6,160,128,109,51
Kolkata,16,8,201,161,195,70
Mumbai,16,7,240,230,263,126
Doha,16,5,179,161,143,83
Cardiff,16,6,182,177,177,65
Sylhet,16,7,210,193,204,87
Bangkok,16,5,239,152,153,65
Mount Maunganui,16,6,243,179,196,127
Entebbe,16,3,172,129,179,42
North Sound,14,6,172,149,133,52
Krefeld,14,3,185,134,119,42
Karachi,14,3,207,208,206,87
Hambantota,14,4,182,164,144,25
Episkopi,14,3,160,151,90,66
Sofia,12,4,191,161,160,70
Christchurch,12,5,214,214,170,89
St George's,12,3,208,204,125,103
Ahmedabad,12,3,224,188,179,81
Guyana,12,6,191,139,69,38
Gros Islet,12,3,199,185,143,97
Port Moresby,12,3,216,125,67,37
Bready,12,3,178,144,136,66
Delhi,12,7,202,161,153,65
Greater Noida,12,2,233,205,165,92
Trinidad,12,5,159,143,112,48
St Kitts,11,3,146,147,98,48
Dharamsala,11,6,180,157,124,37
Rotterdam,10,4,199,159,130,39
Murcia,10,3,143,116,41,36
Adelaide,10,5,233,158,135,51
Birmingham,10,5,221,193,145,59
Chandigarh,10,6,206,211,155,53
Bangalore,10,7,202,157,112,56
Lagos,10,2,134,100,47,20
Prague,10,3,179,180,110,29
Brisbane,10,5,209,169,124,47
St Peter Port,10,6,149,136,100,29
Lucknow,8,3,195,134,87,36
Albergaria,8,3,218,193,125,27
Chattogram,8,5,175,156,81,46
Antigua,8,3,158,131,69,31
Napier,8,4,241,177,109,57
Bulawayo,8,3,190,191,118,32
Khulna,8,2,187,166,112,47
Kerava,8,2,145,146,82,26
Fatullah,8,4,180,175,109,43
Basseterre,8,3,182,140,67,38
Amstelveen,8,4,221,161,104,22
Kandy,6,2,174,175,58,26
Bristol,6,4,198,201,95,33
Dehra Dun,6,2,278,194,96,52
Mombasa,6,2,131,132,63,8
Chester-le-Street,6,4,195,168,84,28
Nairobi,6,3,191,161,57,31
Hobart,6,3,213,200,89,41
The Hague,6,3,150,153,73,20
East London,6,4,177,176,88,32
Port Elizabeth,6,4,179,146,58,22
Jamaica,6,3,190,194,67,26
Ranchi,6,4,196,155,63,27
Perth,6,4,186,135,75,23
Rajkot,6,4,201,202,102,37
Moara,6,2,148,96,36,8
Providence,6,3,157,150,37,34
Pune,6,3,201,158,66,32
Rawalpindi,6,2,156,157,84,21
Walferdange,6,3,184,135,75,25
Chennai,4,3,181,182,65,22
St Vincent,4,2,152,158,50,20
Dehradun,4,2,145,144,41,22
Londonderry,4,3,169,167,60,12
Bengaluru,4,3,190,194,49,32
Visakhapatnam,4,3,126,127,37,8
King City,4,2,137,141,42,11
Dominica,4,2,165,126,35,23
Hong Kong,4,2,161,124,30,21
Townsville,4,2,116,105,17,11
Indore,4,2,260,172,60,37
Cuttack,4,3,180,96,38,8
Thiruvananthapuram,4,3,170,173,30,23
Potchefstroom,4,3,224,141,54,28
Deventer,4,2,205,185,71,18
Canberra,4,3,161,151,56,13
Nelson,4,3,187,166,62,22
Brondby,4,2,135,137,39,7
Bloemfontein,4,3,195,175,64,25
Guwahati,2,2,118,122,19,7
Paarl,2,2,146,147,28,5
Dharmasala,2,2,199,200,32,20
Dunedin,2,2,219,215,26,31
Carrara,2,2,108,87,17,5
Victoria,2,2,173,176,28,12
Hyderabad,2,2,207,209,23,27
Derry,2,2,171,172,34,16
Taunton,2,2,174,171,34,11
Kimberley,2,2,194,186,37,14
Jaipur,2,2,164,166,27,12
Kanpur,2,2,147,148,21,8
Utrecht,2,2,130,135,13,10
Leeds,2,2,200,155,32,14
